ID,REV
1,393.568342861078
2,457.1422020691525
3,512.2360476083816
4,373.231360883595
5,36.49203623657502
6,314.8527646645929
7,508.6162953794038
8,351.64635045640193
9,454.77968351787797
10,327.76447584390917
11,70.56734356419571
12,343.89949152327233
13,203.45550257976709
14,88.3591103350767
15,76.56767652840472
16,76.56767652840472
17,245.8160015289393
18,601.7457849625372
19,317.11923265747646
20,191.5318202844677
21,413.14325439741003
22,450.46950995809175
23,377.73817637374964
24,375.64249180261027
25,1
26,13.125433164690492
27,199.44786174945318
28,262.73698028418744
29,8.338899184624893
30,1
31,1
32,30.20588894856371
33,1
34,1
35,1
36,1
37,149.41451887310666
38,473.5010376443123
39,540.7154693567057
40,154.46624774127434
41,301.9724593052597
42,217.8190875286632
43,550.3373791350098
44,727.208886235089
45,678.2464734364105
46,718.8425393749669
47,562.3008328005219
48,1
49,357.646683420611
50,628.7001574744913
51,691.2744431597313
52,180.36435523822956
53,1
54,1
55,1
56,1
57,1
58,196.72720266583815
59,227.17896937555918
60,571.098170610144
61,502.33341943474625
62,228.8475832175087
63,159.72216256287868
64,673.4306932108376
65,513.3493158233194
66,340.0846118061784
67,439.0047222622095
68,528.1572167064769
69,368.82335681683116
70,631.1352763212667
71,700.3862085884567
72,661.0315947330254
73,402.135615388299
74,832.2044114451415
75,587.7836842618321
76,335.6908007675454
77,450.8912021004786
78,80.02827458496552
79,623.3004740856771
80,848.8019748045441
81,536.4477058236675
82,368.93231247249594
83,720.9808307954288
84,502.01494724380257
85,538.1368280733225
86,708.8596133859635
87,826.3535819805069
88,776.8457852503412
89,372.685022999883
90,717.1800332841639
91,993.2441912332845
92,511.0681606383332
93,884.4137300164201
94,1049.4938033098274
95,35.98892187864203
96,990.5366342764677
97,439.2730333012804
98,841.6768177238711
99,1073.37567792232
100,1470.0051079146021
101,1264.6733997683168
102,1442.890438364566
103,2097.1655111352848
104,1718.2232318530107
105,1944.175878647698
106,1979.6996835672885
107,744.7794421877429
108,956.7787303252235
109,837.3974982893067
110,1061.7337476152225
111,1344.169457577193
112,1399.6127942893072
113,722.8071228604585
114,1023.8469765881283
115,1159.4484653648556
116,1112.8021189361825
117,1372.5903460232576
118,1702.750492610072
119,1134.4749044724888
120,964.1024506649258
121,618.079285411177
122,980.3353546303001
123,797.6851195681696
124,1187.3097035536243
125,1529.410787446685
126,1825.96253358183
127,1786.6079197263987
128,1592.497772415035
129,1517.918360639162
130,1778.6472948555675
131,1949.9220920514597
132,1933.8513388102238
133,1611.5023135946656
134,1598.2439858187963
135,1638.6169831447012
136,1105.6258996532563
137,1038.001376502304
138,1457.0457871378817
139,1910.8664851951776
140,1613.365758237881
141,1762.8755486134805
142,1486.5243716545617
143,1486.5243716545617
144,1133.695821275467
145,1673.1224045938177
146,1830.2418530163943
147,2085.6730843277614
148,2301.600198284123
149,1867.5315589043303
150,2156.421687167793
151,2356.8760618812166
152,2257.218747496255
153,2165.653591866254
154,1479.133619755481
155,1609.586909126745
156,1745.1883979034724
157,1519.1896404667914
158,1306.1263850086727
159,1573.0704372531186
160,1684.9138384004898
161,1873.576779307241
162,2109.40545544068
163,2276.400933202008
164,1381.1794970078772
165,1928.254628906036
166,1955.3634492733604
167,1944.3253821472726
168,1318.4697221716492
169,1753.7470367726005
170,1871.6613748393202
171,2072.1157495527436
172,2154.655786199447
173,2266.6744073628306
174,2361.005877816206
175,1382.0366786133536
176,2078.0114664560792
177,2214.93034570243
178,1961.2523681348448
179,1880.2835671740595
180,1949.7531432854698
181,2152.441374732378
182,1269.1151872698117
183,2010.6000002703124
184,2207.567734829897
185,1921.81912907913
186,2159.504978605762
187,2388.120547366242
188,2100.886129171693
189,2308.0939291857567
190,2067.674279394041
191,1549.3768519485125
192,2069.6605621612525
193,2066.220032649407
194,524.6927908943564
195,1455.8216181147388
196,1585.5273899881306
197,1810.327116822924
198,2102.911724539046
199,1813.8725148433198
200,2085.822587827336
201,2186.0497751840476
202,1219.4360335769056
203,1886.6856035835358
204,1886.6856035835358
205,1974.758269876987
206,2109.255951941105
207,2202.366626740588
208,1298.7757898443556
209,1450.564071944464
210,1689.997957548514
211,1686.4971945191423
212,1739.7994225735874
213,1765.2394635801243
214,1958.032220421865
215,1597.6454450286692
216,2091.8678082302467
217,2046.6174774714789
218,2087.7379922952564
219,1711.5741482690908
220,1911.8338577000864
221,2107.1910439736102
222,1522.5204011465148
223,1833.7736549530866
224,1439.8250118175251
225,1920.1445005356309
226,2013.3080840189582
227,2137.1181389890135
228,2060.473819245646
229,2075.9004478465918
230,1599.3079531394344
231,1386.2573449058793
232,1951.6879930198058
233,1846.0135992584815
234,1946.240786615193
235,2074.1806575202386
236,1862.7910817464794
237,1633.6114891969605
238,1988.7573171088766
239,1902.9058603243466
240,1991.341613874386
241,2065.9603382504
242,1073.4973577381402
243,1771.4341874826086
244,1964.22694432435
245,1707.4501815168128
246,2190.030087619463
247,2296.152991879511
248,2384.5887454295503
249,2431.754480656238
250,2250.6036541215944
251,2063.745926783331
252,1808.5743898709707
253,1345.5265827142682
254,1964.0774408247755
255,1870.2978737277047
256,1659.0058416288143
257,1472.3690228812459
258,1784.8420187580525
259,2013.3080840189582
260,1960.2466318889346
261,1960.2466318889346
262,1774.3621262382912
263,1740.0401984980087
264,1804.893084434704
265,1899.2245548880799
266,1863.850253468064
267,1987.8098119376937
268,1633.1697767400888
269,1712.6265219488234
270,1842.332293822215
271,1842.332293822215
272,1753.8965402721751
273,1966.1423487922702
